Time [us],Protocol,Packet Length (Layer 3) [Byte]
7504014,IEC 60870-5 ASDU,292
7504015,IEC 60870-5 ASDU,252
7604274,IEC 60870-5 ASDU,292
7604275,IEC 60870-5 ASDU,252
7655807,TCP,46
7703957,IEC 60870-5 ASDU,292
7703959,IEC 60870-5 ASDU,252
7804151,IEC 60870-5 ASDU,292
7804152,IEC 60870-5 ASDU,252
7903983,IEC 60870-5 ASDU,292
7903984,IEC 60870-5 ASDU,252
8003922,IEC 60870-5 ASDU,292
8003923,IEC 60870-5 ASDU,252
8103765,IEC 60870-5 ASDU,292
8103765,IEC 60870-5 ASDU,252
8204012,IEC 60870-5 ASDU,292
8204013,IEC 60870-5 ASDU,252
8303748,IEC 60870-5 ASDU,292
8303749,IEC 60870-5 ASDU,252
8403992,IEC 60870-5 ASDU,292
8403994,IEC 60870-5 ASDU,252
8504100,IEC 60870-5 ASDU,292
8504100,IEC 60870-5 ASDU,252
8603546,IEC 60870-5 ASDU,292
8603562,IEC 60870-5 ASDU,252
8703630,IEC 60870-5 ASDU,292
8703630,IEC 60870-5 ASDU,252
8814050,IEC 60870-5 ASDU,292
8814051,IEC 60870-5 ASDU,252
8903960,IEC 60870-5 ASDU,292
8903960,IEC 60870-5 ASDU,252
9004076,IEC 60870-5 ASDU,292
9004077,IEC 60870-5 ASDU,252
9103268,IEC 60870-5 ASDU,292
9103269,IEC 60870-5 ASDU,252
9203920,IEC 60870-5 ASDU,292
9203921,IEC 60870-5 ASDU,252
9303536,IEC 60870-5 ASDU,292
9303537,IEC 60870-5 ASDU,252
9403784,IEC 60870-5 ASDU,292
9403784,IEC 60870-5 ASDU,252
9504060,IEC 60870-5 ASDU,292
9504060,IEC 60870-5 ASDU,252
9603937,IEC 60870-5 ASDU,292
9603938,IEC 60870-5 ASDU,252
9695783,TCP,46
9703785,IEC 60870-5 ASDU,292
9703786,IEC 60870-5 ASDU,252
9803874,IEC 60870-5 ASDU,292
9803874,IEC 60870-5 ASDU,252
9903867,IEC 60870-5 ASDU,292
9903868,IEC 60870-5 ASDU,252
10003750,IEC 60870-5 ASDU,292
10003751,IEC 60870-5 ASDU,252
10045368,TCP,46
10103692,IEC 60870-5 ASDU,292
10103693,IEC 60870-5 ASDU,252
10203853,IEC 60870-5 ASDU,292
10203855,IEC 60870-5 ASDU,252
10303308,IEC 60870-5 ASDU,292
10303310,IEC 60870-5 ASDU,252
10413514,IEC 60870-5 ASDU,292
10413514,IEC 60870-5 ASDU,252
10445370,TCP,46
10503752,IEC 60870-5 ASDU,292
10503754,IEC 60870-5 ASDU,252
10603910,IEC 60870-5 ASDU,292
10603911,IEC 60870-5 ASDU,252
10703732,IEC 60870-5 ASDU,292
